Nationality,Name,FullName,Age,Height,Weight,Overall,PreferredFoot,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
Portugal,Vitinha,Vítor Manuel Carvalho Oliveira,22,183,74,73.0,1,3,2,75,72,61,71,28,80
Germany,S. Polter,Sebastian Polter,31,192,94,73.0,1,3,2,70,72,53,61,35,85
Paraguay,B. Samudio,Braian Samudio,26,180,80,73.0,1,3,3,81,70,63,74,39,72
Belgium,Y. Verschaeren,Yari Verschaeren,20,172,63,73.0,1,3,4,71,67,72,79,44,47
Germany,J. Torunarigha,Jordan Torunarigha,24,191,80,73.0,0,2,2,85,34,63,65,74,74
Spain,Córdoba,Iñigo Córdoba Kerejeta,25,180,76,73.0,0,3,4,81,71,70,76,63,68
England,K. Grant,Karlan Grant,24,182,70,73.0,1,3,3,86,73,62,72,33,65
Argentina,J. Álvarez,Juan Álvarez,26,176,72,73.0,1,3,3,79,67,68,74,40,67
Argentina,J. Barroso,Julio Alberto Barroso,37,175,71,73.0,1,3,2,64,56,57,61,75,76
Slovakia,L. Bénes,László Bénes,24,181,72,73.0,0,3,3,60,70,78,74,47,61
Netherlands,V. Janssen,Vincent Janssen,28,184,89,73.0,0,4,3,75,71,60,68,39,82
France,G. Clichy,Gaël Clichy,36,176,65,73.0,0,4,3,72,43,68,73,71,64
England,C. O'Hare,Callum O'Hare,24,173,65,73.0,1,3,3,81,58,69,77,63,66
Cameroon,I. Ganago,Ignatius Ganago,23,179,82,73.0,1,3,3,81,73,59,73,34,67
Senegal,P. Ciss,Pathé Ciss,28,185,71,73.0,1,3,2,63,56,61,62,71,82
Argentina,P. Goltz,Paolo Goltz,37,184,82,73.0,1,3,2,54,55,65,58,72,78
Turkey,D. Türüç,Deniz Türüç,29,177,75,73.0,0,3,3,74,71,73,74,57,70
Brazil,Samuel Portugal,Samuel Portugal Lima,28,188,80,73.0,0,3,1,74,67,77,78,43,71
England,H. Choudhury,Hamza Choudhury,24,178,64,73.0,1,3,2,63,45,62,66,74,73
Portugal,Chiquinho,Francisco L. Lima Silva Machado,26,174,68,73.0,1,3,4,71,70,75,75,54,49
Chile,F. Orellana,Fabián Orellana,36,168,65,73.0,1,4,4,72,68,68,79,39,44
Spain,Óscar Plano,Óscar Plano Pedreño,31,180,75,73.0,0,4,3,85,69,70,72,56,73
Spain,Rubén Sobrino,Rubén Sobrino Pozuelo,30,185,73,73.0,1,4,3,77,73,63,74,37,64
Turkey,S. Uçan,Salih Uçan,28,182,80,73.0,1,5,4,60,69,75,75,66,64
Argentina,A. Frías,Adonis Frías,24,180,77,73.0,1,3,2,69,37,59,66,73,76
Algeria,H. Soudani,Hillal Soudani,34,182,75,73.0,0,4,4,74,72,70,74,43,75
France,T. Mangani,Thomas Mangani,35,183,79,73.0,0,3,3,40,69,76,69,68,73
Argentina,E. Insua,Emiliano Insua,33,180,79,73.0,0,2,3,65,59,66,68,72,78
Belgium,T. Kaminski,Thomas Kaminski,29,188,70,73.0,1,3,1,72,75,69,74,46,67
Germany,S. Kittel,Sonny Kittel,29,179,76,73.0,1,5,4,76,70,74,75,32,54
France,A. Nordin,Arnaud Nordin,24,170,69,73.0,0,4,3,83,69,68,75,37,57
Norway,S. Tronstad,Sondre Tronstad,26,174,70,73.0,1,4,3,69,64,70,72,72,76
France,L. Diony,Loïs Diony,29,183,82,73.0,1,3,3,71,74,63,71,25,73
Italy,M. Lovato,Matteo Lovato,22,188,78,73.0,1,3,2,70,30,52,60,75,72
France,L. Badé,Loïc Badé,22,191,89,73.0,1,3,2,57,33,54,62,73,77
Spain,Manu Morlanes,Manuel Morlanes Ariño,23,178,75,73.0,1,3,3,68,64,74,73,69,67
Serbia,D. Aleksić,Danijel Aleksić,31,182,75,73.0,0,4,3,68,75,73,75,51,74
Venezuela,W. Faríñez,Wuilker Faríñez,24,180,77,73.0,1,3,1,74,70,67,76,52,74
England,I. Jones,Isaiah Jones,23,176,71,73.0,1,4,3,85,55,65,73,64,58
Morocco,Y. Benrahou,Yassine Benrahou,23,170,68,73.0,0,3,4,75,67,72,79,41,57
Paraguay,M. Rojas,Matías Rojas,26,186,78,73.0,0,3,4,73,72,74,75,55,59
Brazil,Aderllan Santos,Aderllan de Jesus Santos,33,193,86,73.0,1,2,2,61,52,49,52,74,78
Angola,Lucas João,Lucas Eduardo dos Santos João,28,193,80,73.0,1,4,4,69,73,61,72,27,65
Spain,Corpas,José Corpas Serna,30,178,72,73.0,1,3,3,90,67,69,73,36,60
England,C. Burgess,Christian Burgess,30,196,84,73.0,1,3,2,44,34,52,50,75,79
Belgium,A. Vranckx,Aster Vranckx,19,183,78,73.0,1,5,3,63,65,70,77,63,75
Netherlands,D. Zeefuik,Deyovaisio Zeefuik,24,177,76,73.0,1,3,2,82,41,60,69,69,80
Germany,L. Höler,Lucas Höler,27,184,83,73.0,1,2,2,71,73,51,62,51,79
England,R. Yates,Ryan Yates,24,190,77,73.0,1,3,2,65,59,60,64,71,84
Austria,P. Pervan,Pavao Pervan,34,194,92,73.0,1,4,1,72,73,69,75,30,70
Portugal,D. Heuer Fernandes,Daniel Heuer Fernandes,29,188,81,73.0,1,4,1,74,69,75,75,43,70
Chile,R. Echeverría,Rodrigo Echeverría,27,180,77,73.0,1,3,2,75,61,67,70,71,83
Greece,M. Siopis,Manolis Siopis,28,171,67,73.0,1,2,2,74,45,63,70,73,75
Wales,R. Matondo,Rabbi Matondo,21,175,66,73.0,1,3,3,92,70,65,74,38,53
Italy,M. Valoti,Mattia Valoti,28,181,76,73.0,1,3,3,62,70,75,75,54,52
England,T. Heaton,Tom Heaton,36,188,85,73.0,1,3,1,71,73,71,73,49,75
Croatia,D. Bradarić,Domagoj Bradarić,22,178,69,73.0,0,3,3,78,55,67,73,69,66
Argentina,J. García,Juan Manuel García,29,183,82,73.0,1,5,3,78,72,50,67,37,77
Germany,T. Sippel,Tobias Sippel,34,183,80,73.0,1,2,1,74,69,76,77,47,69
Portugal,David Costa,David Pereira Da Costa,21,168,64,73.0,0,3,3,72,65,66,80,33,43
Serbia,V. Milinković-Savić,Vanja Milinković-Savić,25,202,90,73.0,1,3,1,73,71,78,73,43,74
Germany,J. Toljan,Jeremy Toljan,27,182,74,73.0,1,4,3,86,42,63,69,66,67
Madagascar,L. Lapoussin,Loïc Lapoussin,26,181,70,73.0,1,3,3,76,63,67,74,67,72
Algeria,I. Kebbal,Ilan Kebbal,23,169,60,73.0,0,2,4,77,66,71,79,24,53
England,E. Green,Etienne Green,21,192,78,73.0,1,3,1,72,71,74,75,26,72
Iran,A. Gholizadeh,Ali Gholizadeh,26,176,69,73.0,0,3,4,76,68,68,76,48,69
Colombia,A. Andrade,Andrés Andrade,33,177,77,73.0,1,3,3,77,73,69,75,41,63
Venezuela,C. Cásseres Jr,Cristian Cásseres Jr,22,175,68,73.0,1,4,3,77,58,67,73,72,75
Italy,A. Conti,Andrea Conti,28,184,76,73.0,1,2,3,74,58,67,72,70,62
Slovenia,M. Blažič,Miha Blažič,29,185,81,73.0,1,3,2,61,34,54,47,75,71
Spain,Rodri,Rodrigo Sánchez Rodríguez,22,168,62,73.0,0,4,3,71,71,69,76,38,48
England,J. Stacey,Jack Stacey,26,178,62,73.0,1,3,3,73,55,66,70,69,71
Brazil,Lúcio Anselmão,Lúcio Anselmo Calegario Pitta,30,169,69,73.0,0,3,2,75,65,69,70,66,76
Switzerland,A. Mehmedi,Admir Mehmedi,31,183,78,73.0,1,3,3,66,74,70,77,43,66
Colombia,H. Palacios,Helibelton Palacios,29,181,76,73.0,1,2,3,79,35,61,61,69,80
Argentina,A. Arregui,Adrián Arregui,29,175,74,73.0,1,3,2,72,67,72,71,71,79
Peru,G. Lapadula,Gianluca Lapadula,32,178,69,73.0,0,3,3,76,72,59,74,24,67
Germany,M. Schuhen,Marcel Schuhen,29,188,85,73.0,1,3,1,74,69,73,76,53,69
Sweden,R. Quaison,Robin Quaison,28,183,78,73.0,1,3,3,71,72,67,75,44,70
Wales,P. Dummett,Paul Dummett,30,183,82,73.0,0,2,2,62,40,63,67,75,69
Argentina,T. Guidara,Tomás Guidara,26,173,70,73.0,1,2,3,81,41,63,67,67,77
Italy,F. Depaoli,Fabio Depaoli,25,182,71,73.0,1,3,3,73,53,70,72,69,57
Spain,Sergio León,Sergio León Limones,33,178,73,73.0,1,4,3,76,74,67,74,38,70
Brazil,Gustavo Henrique,Gustavo H. Vernes,29,196,89,73.0,1,3,2,54,34,49,57,73,79
Netherlands,D. Sinkgraven,Daley Sinkgraven,26,179,70,73.0,0,3,3,74,60,72,76,69,63
United States,S. Johnson,Sean Johnson,33,190,98,73.0,1,2,1,73,67,70,76,42,70
Bosnia and Herzegovina,I. Šehić,Ibrahim Šehić,33,190,79,73.0,0,1,1,69,72,67,73,32,76
Portugal,Ivo Rodrigues,Ivo Tiago Santos Rodrigues,27,180,75,73.0,1,4,4,75,70,69,75,43,64
Zimbabwe,T. Kadewere,Tino Kadewere,26,183,71,73.0,1,3,3,75,74,67,74,38,67
Nigeria,H. Onyekuru,Henry Onyekuru,25,175,70,73.0,1,4,4,91,70,64,75,34,54
Brazil,Thio Rolim,Thiago Marcos Rolim Nascimento,26,169,67,73.0,0,2,2,79,69,69,73,39,52
Spain,Iván Sánchez,Iván Sánchez Aguayo,29,171,64,73.0,0,3,3,75,69,71,78,39,45
Denmark,A. Maxsø,Andreas Maxsø,28,191,87,73.0,1,4,2,50,45,55,54,72,81
Spain,Jason,David Jason Remeseiro Salgueiro,27,178,65,73.0,1,4,3,70,71,71,72,49,63
France,C. Hérelle,Christophe Hérelle,29,188,79,73.0,1,2,2,56,48,61,61,73,74
Scotland,B. McKay,Barrie McKay,27,172,73,73.0,1,4,3,85,62,71,74,38,41
Republic of Ireland,D. Lenihan,Darragh Lenihan,28,188,76,73.0,1,3,2,66,46,58,59,73,77
Brazil,Hugo Goiteira,Hugo Goiteira Regalo,30,190,88,73.0,1,2,2,41,48,55,51,74,80
Kosovo,E. Rexhbeçaj,Elvis Rexhbeçaj,24,182,73,73.0,0,3,3,66,64,70,74,65,69
Peru,A. Callens,Alexander Callens,30,186,76,73.0,0,3,2,70,49,49,57,72,78
Brazil,Caio Chissano,Caio Welson Chissano Dourado,34,173,74,73.0,0,3,2,75,39,65,70,71,62
Spain,Francés,Alejandro Francés Torrijo,19,180,70,73.0,1,4,2,74,35,64,62,74,74
Argentina,J. Cuevas,Juan Ezequiel Cuevas,34,161,66,73.0,0,4,4,80,65,72,76,48,68
Greece,G. Athanasiadis,Giorgos Athanasiadis,29,190,88,73.0,1,2,1,72,72,68,75,30,72
Austria,F. Daniliuc,Flavius Daniliuc,21,188,80,73.0,1,4,2,55,42,61,60,74,75
United States,P. Arriola,Paul Arriola,27,168,66,73.0,1,3,3,81,66,68,72,60,76
Benin,S. Mounié,Steve Mounié,27,190,83,73.0,1,3,2,59,72,62,68,45,79
Argentina,G. Escobar,Gonzalo Escobar,25,171,70,73.0,0,2,3,82,49,65,69,68,77
Mexico,U. Dávila,Ulises Dávila,31,172,65,73.0,0,4,4,74,73,70,76,50,62
Equatorial Guinea,Pedro Obiang,Pedro Mba Obiang Avomo,30,185,75,73.0,1,3,3,56,59,70,70,74,71
Romania,S. Lung,Silviu Lung,33,188,80,73.0,1,3,1,72,70,69,74,37,74
Germany,D. Heintz,Dominique Heintz,28,188,89,73.0,0,3,2,54,37,59,58,73,78
Italy,S. Luperto,Sebastiano Luperto,25,191,75,73.0,0,3,2,58,55,60,59,75,68
England,A. Forshaw,Adam Forshaw,30,174,71,73.0,1,3,3,61,61,73,74,66,70
Portugal,Rúben Vezo,Rúben Miguel Nunes Vezo,28,183,80,73.0,1,2,2,72,54,64,64,72,74
Netherlands,X. Simons,Xavi Simons,19,179,58,73.0,1,3,3,77,63,71,77,55,63
Algeria,M. Zeghba,Moustapha Zeghba,31,190,90,73.0,1,3,1,70,71,63,76,48,73
Nigeria,Y. Sor,Yira Sor,21,174,68,73.0,1,2,2,89,65,61,75,28,54
Germany,C. Mathenia,Christian Mathenia,30,190,89,73.0,1,2,1,75,68,54,77,45,75
Portugal,Miguel Silva,João Miguel Macedo da Silva,27,190,78,73.0,1,3,1,77,68,59,76,53,72
Spain,José Pozo,José Ángel Pozo la Rosa,26,171,67,73.0,1,4,3,74,72,71,75,61,58
Brazil,Mardial Cunha,Mardial Sidney Cunha Sousa,22,183,77,73.0,1,3,2,74,41,60,53,77,66
England,R. Healey,Rhys Healey,27,180,72,73.0,1,3,3,76,75,61,71,30,62
Poland,K. Grosicki,Kamil Grosicki,34,180,78,73.0,1,3,3,86,68,69,73,37,58
Croatia,A. Čolak,Antonio Čolak,28,188,81,73.0,1,4,3,71,74,55,67,34,76
Albania,E. Berisha,Etrit Berisha,33,194,92,73.0,0,2,1,70,72,66,74,28,72
Brazil,Eric Botteghin,Eric Fernando Botteghin,34,193,89,73.0,1,2,2,30,35,47,50,73,81
England,J. Bogle,Jayden Bogle,21,178,69,73.0,1,3,3,81,55,67,73,68,67
Morocco,F. Moufi,Fahd Moufi,26,177,77,73.0,1,3,2,74,39,63,68,69,79
Bosnia and Herzegovina,D. Hotić,Dino Hotić,26,168,69,73.0,0,4,4,76,70,75,73,48,71
Panama,L. Mejía,Luis Mejía,31,193,81,73.0,0,1,1,73,69,63,75,55,74
Brazil,Lucas Souza,Lucas Vieira de Souza,32,186,80,73.0,1,2,3,56,70,63,67,72,80
United States,S. Frei,Stefan Frei,36,191,88,73.0,1,3,1,72,69,67,73,35,75
Poland,M. Bułka,Marcin Bułka,22,199,90,73.0,1,2,1,74,72,69,74,27,73
Poland,J. Góralski,Jacek Góralski,29,172,66,73.0,1,2,3,69,46,65,67,69,79
Bosnia and Herzegovina,S. Prevljak,Smail Prevljak,27,187,75,73.0,1,3,3,62,79,59,68,24,72
Spain,Carlitos,Carlos Daniel López Huesca,32,177,71,73.0,1,2,4,79,74,68,76,27,70
Uruguay,F. Carballo,Felipe Carballo,25,177,73,73.0,1,3,2,69,67,70,72,66,72
Netherlands,M. van der Hoorn,Mike van der Hoorn,29,190,85,73.0,1,3,2,47,46,51,49,74,79
Switzerland,M. Gavranović,Mario Gavranović,32,175,76,73.0,1,4,3,62,74,60,72,38,65
Madagascar,M. Ilaimaharitra,Marco Ilaimaharitra,26,177,80,73.0,1,3,3,68,61,67,68,72,80
Uruguay,C. Mayada,Camilo Mayada,31,175,72,73.0,1,3,3,90,65,68,72,66,77
Brazil,Paulson Junqueira,Paulson Otávio Junqueira Gonçalves,26,177,76,73.0,0,3,2,77,48,61,69,69,70
Brazil,Nildo Reisão,Nildo Enaldo Reisão Dinis,26,191,90,73.0,1,3,2,52,41,61,47,73,84
Spain,Mingueza,Óscar Mingueza García,23,184,75,73.0,1,3,2,76,35,65,64,74,74
Uruguay,M. Campaña,Martín Campaña,33,186,70,73.0,1,3,1,71,73,72,73,44,71
Argentina,F. Ortega,Francisco Ortega,23,177,75,73.0,0,3,3,88,58,67,76,63,77
Denmark,D. Iversen,Daniel Iversen,24,193,80,73.0,1,2,1,73,72,75,75,45,71
Spain,Fran Vélez,Francisco Vélez Jiménez,31,182,79,73.0,1,3,2,54,37,63,64,71,80
Czech Republic,T. Chorý,Tomáš Chorý,27,200,101,73.0,1,3,2,50,70,57,63,32,84
Guinea,I. Moriba,Ilaix Moriba,19,185,73,73.0,1,4,4,70,71,64,74,64,64
Brazil,Rafael Ratão,Rafael Rogério da Silva,26,183,82,73.0,1,3,4,76,73,66,75,43,69
Brazil,Carlos Coronel,Carlos Miguel Coronel,25,192,88,73.0,1,3,1,73,70,76,75,39,71
Norway,J. Larsen,Jørgen Strand Larsen,22,193,86,73.0,1,3,3,77,72,56,67,32,82
Portugal,Rúben Vinagre,Rúben Nascimento Vinagre,23,174,71,73.0,0,2,4,86,55,70,77,64,63
Serbia,M. Gaćinović,Mijat Gaćinović,27,175,71,73.0,1,3,4,75,60,71,78,63,63
Egypt,O. Marmoush,Omar Marmoush,23,183,81,73.0,1,3,4,85,70,63,79,29,66
Spain,Martín,Martín Aguirregabiria,26,178,69,73.0,1,3,3,63,35,63,68,72,64
Portugal,Frederico Venâncio,Frederico André Ferrão Venâncio,29,186,82,73.0,1,3,2,57,33,50,55,74,69
Japan,T. Asano,Takuma Asano,27,173,71,73.0,1,4,3,88,67,61,77,30,67
Turkey,M. Günok,Mert Günok,33,196,92,73.0,1,2,1,72,73,72,70,56,78
Germany,O. Hüsing,Oliver Hüsing,29,193,92,73.0,1,2,2,52,33,46,50,73,77
Ecuador,J. Cifuentes,José Cifuentes,23,173,70,73.0,1,4,3,71,61,67,73,71,77
Italy,F. Bonazzoli,Federico Bonazzoli,25,182,79,73.0,0,3,3,70,74,55,72,28,60
England,J. Cooper,Jake Cooper,27,199,85,73.0,0,2,2,52,32,48,52,73,78
Netherlands,N. Viergever,Nick Viergever,32,183,77,73.0,0,2,2,72,54,65,67,74,75
Japan,M. Yoshida,Maya Yoshida,33,189,90,73.0,1,4,2,52,41,51,63,74,70
Spain,Gumbau,Gerard Gumbau Garriga,27,187,77,73.0,0,3,3,55,67,73,68,72,66
Norway,V. Berisha,Veton Berisha,28,175,75,73.0,1,3,3,83,72,66,71,40,85
France,M. Leverbe,Maxime Leverbe,25,188,77,73.0,1,2,2,66,42,54,61,74,77
Senegal,A. Ndiaye,Amath Ndiaye,25,173,70,73.0,1,4,4,91,68,66,75,49,65
Italy,K. Lasagna,Kevin Lasagna,29,186,80,73.0,0,3,3,87,71,65,72,38,65
Brazil,Fernando,Fernando Dos Santos Pedro,23,176,75,73.0,1,3,3,88,74,65,77,37,62
Spain,Stoichkov,Juan Diego Molina Martínez,28,178,71,73.0,1,3,4,73,76,68,74,46,68
Spain,Nico Melamed,Nicolás Melamed Ribaudo,21,173,68,73.0,1,3,4,80,66,71,76,42,56
Turkey,K. Ayhan,Kaan Ayhan,27,184,84,73.0,1,3,3,56,53,69,67,73,75
Romania,A. Mitriță,Alexandru Mitriță,27,165,68,73.0,1,5,3,84,68,67,77,26,57
Colombia,J. Otero,Juan Ferney Otero,27,181,74,73.0,1,3,4,91,73,66,75,31,72
Denmark,N. Boilesen,Nicolai Boilesen,30,186,75,73.0,0,3,3,66,49,67,69,73,74
Venezuela,J. Martínez,José Andrés Martínez,27,176,69,73.0,1,3,2,72,43,60,71,72,80
United States,A. Long,Aaron Long,29,185,79,73.0,1,3,2,78,39,54,62,70,82
Saudi Arabia,Y. Al Shahrani,Yasser Al Shahrani,30,170,64,73.0,1,5,3,84,54,66,71,67,64
Argentina,E. Gigliotti,Emmanuel Gigliotti,35,187,81,73.0,1,3,3,49,74,59,68,41,80
Spain,Juan Carlos,Juan Carlos Martín Corral,34,186,85,73.0,1,3,1,72,73,72,73,59,71
Suriname,D. Biseswar,Diego Biseswar,34,176,79,73.0,1,3,3,69,68,75,77,33,58
Hungary,D. Dibusz,Dénes Dibusz,31,188,81,73.0,1,3,1,75,72,70,78,24,68
Serbia,M. Veljković,Miloš Veljković,26,188,85,73.0,1,3,2,48,33,53,59,74,73
Nigeria,F. Onyeka,Frank Onyeka,24,183,70,73.0,1,3,3,81,57,64,70,71,80
Greece,D. Giannoulis,Dimitris Giannoulis,26,178,71,73.0,0,2,3,81,42,63,71,68,66
Ukraine,E. Sobol,Eduard Sobol,27,186,76,73.0,0,2,2,78,64,67,70,70,73
Germany,J. Gressel,Julian Gressel,28,185,84,73.0,1,4,3,71,63,73,69,61,77
Germany,J. Haberer,Janik Haberer,28,186,79,73.0,1,3,3,63,63,70,73,62,70
Côte d'Ivoire,S. Doumbia,Souleyman Doumbia,25,175,64,73.0,0,2,3,85,43,62,71,67,69
Armenia,S. Adamyan,Sargis Adamyan,29,184,78,73.0,1,3,4,80,73,65,76,34,70
France,M. Malsa,Mickaël Malsa,26,178,69,73.0,1,3,3,71,62,71,72,71,75
Italy,C. Pinsoglio,Carlo Pinsoglio,32,194,85,73.0,0,2,1,74,72,62,76,42,74
Argentina,F. Roncaglia,Facundo Roncaglia,35,179,76,73.0,1,2,2,64,53,65,63,75,72
France,R. Oudin,Rémi Oudin,25,186,81,73.0,0,3,3,74,71,72,72,34,67
England,D. Fry,Dael Fry,24,191,72,73.0,1,3,2,64,29,56,59,74,72
Wales,K. Moore,Kieffer Moore,29,196,83,73.0,1,3,3,70,70,56,67,46,80
Brazil,Rodrigo Pinho,Rodrigo Cunha Pereira de Pinho,31,186,80,73.0,0,3,3,65,77,60,73,25,61
Bosnia and Herzegovina,E. Demirović,Ermedin Demirović,24,185,76,73.0,1,3,3,73,73,61,71,33,74
Ukraine,O. Karavaev,Oleksandr Karavaev,30,175,71,73.0,1,4,3,79,55,70,71,59,64
Brazil,Marquinhos,Marcus Vincius Oliveira Alencar,19,174,77,73.0,0,3,3,81,62,66,75,33,54
Colombia,F. Pardo,Felipe Pardo,31,178,81,73.0,1,4,3,75,72,70,75,38,77
Spain,Tete Morente,José Antonio Morente Oliva,25,184,78,73.0,1,3,3,78,71,71,73,44,66
Spain,Zarraga,Oier Zarraga Egaña,23,175,76,73.0,1,3,3,77,65,72,75,61,67
Spain,Osmar,Osmar Ibañez Barba,34,192,86,73.0,0,3,2,37,60,69,58,73,84
France,B. Stambouli,Benjamin Stambouli,31,180,82,73.0,1,4,2,50,49,64,68,71,76
Sweden,M. Danielson,Marcus Danielson,33,192,80,73.0,1,2,3,47,37,49,56,76,72
Portugal,Rafa Soares,Luís Rafael Soares Alves,27,177,72,73.0,0,3,3,74,62,70,71,67,67
Brazil,Claudinho Vair,Claudiano Vair Paes Neto,34,175,75,73.0,1,3,2,79,63,71,74,49,62
Burkina Faso,C. Kaboré,Charles Kaboré,34,183,78,73.0,1,3,3,67,52,67,66,71,75
Angola,Wilson Eduardo,Wilson Bruno Naval Costa Eduardo,31,179,77,73.0,1,3,4,77,75,70,74,31,67
Belgium,R. Schoofs,Rob Schoofs,28,179,69,73.0,0,3,3,59,66,73,73,64,63
Austria,L. Schaub,Louis Schaub,27,177,72,73.0,0,3,3,59,67,72,77,41,67
Wales,T. Lawrence,Tom Lawrence,28,180,75,73.0,1,3,4,74,75,71,73,42,70
Turkey,T. Ciğerci,Tolga Ciğerci,30,185,85,73.0,1,3,3,68,65,69,68,70,78
Senegal,P. Djilobodji,Papy Djilobodji,33,193,82,73.0,0,3,2,58,47,54,57,72,80
England,H. Elliott,Harvey Elliott,19,170,67,73.0,0,4,4,78,62,71,78,37,42
Turkey,R. Yılmaz,Rıdvan Yılmaz,21,174,60,73.0,0,2,2,85,50,64,73,67,60
Colombia,J. Barrera,Jarlan Barrera,26,172,75,73.0,0,4,4,73,65,74,75,42,57
Uruguay,G. Brugman,Gaston Brugman,29,175,66,73.0,1,3,3,73,65,73,75,66,67
Brazil,Emu Teixeira,Emanuel Breno Teixeira Rocha,38,180,81,73.0,1,2,2,66,36,55,54,72,78
Serbia,L. Marković,Lazar Marković,28,175,65,73.0,1,3,4,83,65,70,78,41,49
Curacao,E. Room,Eloy Room,33,188,81,73.0,1,3,1,74,69,68,75,45,68
United States,G. Busio,Gianluca Busio,20,170,61,73.0,1,4,3,67,66,70,75,62,62
Denmark,R. Lauritsen,Rasmus Lauritsen,26,189,78,73.0,1,3,2,60,41,58,53,74,76
Germany,M. Bader,Matthias Bader,25,176,73,73.0,1,3,3,79,34,61,70,68,68
Paraguay,L. Melgarejo,Lorenzo Melgarejo,31,178,75,73.0,0,3,4,85,72,65,76,56,69
Czech Republic,J. Zelený,Jaroslav Zelený,29,190,83,73.0,0,3,3,74,61,65,70,72,75
Sweden,O. Toivonen,Ola Toivonen,35,192,78,73.0,1,4,3,37,77,75,71,41,63
Spain,Aleñá,Carles Aleñá Castillo,24,180,73,73.0,0,2,4,68,67,74,73,59,59
Colombia,Ó. Estupiñán,Óscar Estupiñán,25,182,87,73.0,0,2,3,71,72,51,69,30,79
Brazil,Enzo Merques,Enzo Diogo Merques Gomes,26,187,76,73.0,0,4,3,72,64,70,73,67,74
Brazil,Marlion Simões,Marlion Gustavo Simões Paiva,30,180,75,73.0,0,4,3,85,56,59,70,70,71
Senegal,M. Niang,M'Baye Niang,27,184,75,73.0,1,4,3,74,75,66,71,31,68
Brazil,Rodolfo Pittaça,Rodolfo Dilson Pitta Fonseca,22,179,77,73.0,0,3,2,51,75,68,64,43,81
Jamaica,K. Roofe,Kemar Roofe,29,178,65,73.0,1,4,3,79,75,67,72,50,58
Algeria,N. Bentaleb,Nabil Bentaleb,27,187,78,73.0,0,2,4,54,71,73,78,67,72
Czech Republic,J. Sýkora,Jan Sýkora,28,171,64,73.0,0,3,3,81,69,71,74,62,68
Sweden,J. Larsson,Johan Larsson,32,182,75,73.0,1,3,3,81,63,70,68,66,75
France,B. Leroy,Benjamin Leroy,33,184,75,73.0,1,3,1,72,72,71,73,46,72
Norway,D. Johnsen,Dennis Johnsen,24,185,75,73.0,1,2,4,87,60,69,74,32,61
Argentina,D. Batallini,Damian Batallini,26,176,77,73.0,1,3,3,79,70,67,76,54,71
France,R. Pierre-Gabriel,Ronaël Pierre-Gabriel,24,177,80,73.0,1,3,3,73,48,61,69,71,71
Finland,J. Pohjanpalo,Joel Pohjanpalo,27,186,86,73.0,1,3,3,63,75,58,69,26,70
England,J. Murphy,Jacob Murphy,27,179,74,73.0,1,4,3,81,67,69,74,64,62
Belgium,D. Roef,Davy Roef,28,188,88,73.0,1,3,1,74,73,72,72,51,72
Italy,F. Bandinelli,Filippo Bandinelli,27,180,74,73.0,0,3,3,70,71,71,73,71,71
Uruguay,G. Pereiro,Gastón Pereiro,27,188,75,73.0,0,3,3,73,74,71,76,40,68
Belgium,B. Manuel,Benson Manuel,25,166,70,73.0,0,4,4,82,66,69,79,35,62
Argentina,F. Fernández,Federico Fernández,33,190,83,73.0,1,3,2,33,30,54,53,75,71
Cameroon,J. Onana,Jean Onana,22,187,90,73.0,1,3,3,59,66,69,71,70,81
Argentina,J. Sosa,José Sosa,37,179,72,73.0,1,4,3,52,70,80,75,65,60
Panama,M. Murillo,Michael Murillo,26,183,75,73.0,1,3,3,83,57,66,69,68,75
Republic of Ireland,C. Kelleher,Caoimhin Kelleher,23,188,74,73.0,1,3,1,72,71,74,76,43,70
Morocco,A. Harroui,Abdou Harroui,24,182,76,73.0,1,5,3,74,68,70,75,67,75
England,O. Richards,Omar Richards,24,174,70,73.0,0,2,3,75,46,60,73,69,63
Turkey,O. Kabak,Ozan Kabak,22,186,86,73.0,1,3,2,67,36,53,65,71,80
Netherlands,J. Hendrix,Jorrit Hendrix,27,181,75,73.0,0,2,2,65,59,67,69,71,74
Bolivia,C. Lampe,Carlos Lampe,35,192,84,73.0,1,3,1,73,71,66,74,34,75
England,J. Dasilva,Josh Dasilva,23,184,75,73.0,0,3,3,76,71,72,74,65,75
France,S. Nsoki,Stanley Nsoki,23,184,83,73.0,0,2,2,73,38,62,67,73,77
Luxembourg,L. Barreiro Martins,Leandro Barreiro Martins,22,174,68,73.0,1,3,3,75,58,67,77,70,64
Spain,Alberto Perea,Alberto Perea Correoso,31,177,74,73.0,1,3,3,73,69,70,77,35,59
Italy,G. Letizia,Gaetano Letizia,32,173,63,73.0,1,4,3,87,56,62,69,66,70
Romania,I. Hagi,Ianis Hagi,23,182,72,73.0,1,5,4,76,71,74,75,36,64
Sweden,J. Andersson,Joel Andersson,25,178,68,73.0,1,4,3,83,51,67,71,64,74
Russia,Y. Lodygin,Yuriy Lodygin,32,187,82,73.0,1,2,1,75,70,71,79,45,69
France,V. Germain,Valère Germain,32,181,75,73.0,1,4,3,65,73,70,72,39,65
Georgia,G. Makaridze,Giorgi Makaridze,32,194,80,73.0,1,2,1,75,72,65,73,44,71
