FullName,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,BestPosition,Position
Kévin Théophile-Catherine,72,49,64,65,69,78,CB,1
Makhtar Gueye,64,71,56,61,30,81,ST,6
Jimmy Dunne,54,37,50,55,71,68,CB,1
Santiago Giordana,67,71,58,66,29,66,ST,6
Ryder Matos Santos Pinto,77,64,61,75,34,65,RW,5
Batista Mendy,60,50,63,60,70,78,CB,1
Juan Brandáriz Movilla,52,36,50,56,71,70,CB,1
Jesús Imaz Ballesté,80,71,67,72,31,61,RW,5
Assan Ceesay,87,69,58,66,34,69,ST,6
Adelino André Vieira de Freitas,66,74,73,73,68,59,CAM,0
Diego Rodríguez,70,66,72,73,44,67,GK,3
Sam Gallagher,70,69,58,67,45,75,ST,6
David Kinsombi,68,64,63,72,66,74,CM,2
Riccardo Improta,83,63,63,74,55,57,LW,4
Rodrigo Muniz Carvalho,70,70,56,69,33,72,ST,6
Iván Martín Núñez,75,61,69,71,41,48,CAM,0
Artem Besedin,71,66,50,65,41,66,ST,6
Mattijs Branderhorst,71,68,67,71,40,69,GK,3
Tyrese Campbell,82,69,60,70,33,67,ST,6
Rudy Camacho,43,44,62,59,68,80,CB,1
Facundo Altamirano,73,68,63,70,45,65,GK,3
Danilo Arboleda,42,24,41,43,71,77,CB,1
David Ferreiro Quiroga,82,67,70,73,37,41,RW,5
Hugo Vetlesen,78,64,66,73,60,64,CAM,0
Douglas Arthur Silbeira Martins,64,73,59,68,29,58,ST,6
Phil Jagielka,32,45,55,52,72,63,CB,1
Ofir Marciano,72,66,61,73,42,68,GK,3
Lawrence Shankland,70,71,59,68,28,75,ST,6
Darko Churlinov,86,67,62,73,51,55,CAM,0
Roberto López Alcaide,57,69,71,71,40,58,CAM,0
Jón Guðni Fjóluson,37,50,58,51,69,78,CB,1
Cristian Colmán,75,68,53,69,31,76,ST,6
Michele Rigione,52,42,53,54,71,73,CB,1
Fabian Klos,53,72,61,60,39,81,ST,6
Juan Torres Ruiz,50,53,60,59,69,78,CB,1
Fabian Nürnberger,74,60,67,73,66,66,CAM,0
Giulian Biancone,68,45,62,66,69,75,CB,1
Gabriel Paletta,30,34,39,47,74,68,CB,1
Josep Señé Escudero,68,63,70,72,50,65,CAM,0
Azzedine Ounahi,57,61,68,70,61,66,CM,2
Filip Uremović,58,30,47,52,70,71,CB,1
Matteo Gabbia,52,33,47,56,74,71,CB,1
Cameron Puertas,77,66,69,71,67,75,CM,2
Julian Jeanvier,63,35,49,54,69,73,CB,1
Giorgio Altare,67,30,47,54,71,74,CB,1
Aarón Escandell,67,70,67,72,37,67,GK,3
João António Antunes Carvalho,71,66,71,75,33,48,CAM,0
Fotis Ioannidis,69,70,55,68,24,70,ST,6
João Aniceto Grandela Nunes,71,41,58,55,71,74,CB,1
Alec Deneumostier,58,29,48,48,71,63,CB,1
Mark Diemers,68,69,72,70,63,65,CM,2
Domen Črnigoj,74,62,69,72,56,67,CAM,0
Christopher Antwi-Adjei,84,56,61,75,26,52,LW,4
Sang Gi Min,74,41,54,56,68,78,CB,1
Josh Laurent,77,60,61,68,67,84,CB,1
Alejandro Cabeza,75,69,58,67,34,68,ST,6
Jimmy Giraudon,50,36,58,58,72,74,CB,1
Enrique Pérez Muñoz,57,59,68,74,60,57,CAM,0
Dominick Drexler,69,62,69,73,50,60,CAM,0
Christoph Zimmermann,39,30,42,42,70,77,CB,1
Cristian Medina,69,59,68,72,64,68,CM,2
Ademilson Braga Bispo Júnior,92,69,62,71,31,71,RW,5
Carel Eiting,52,55,76,70,61,56,CM,2
Ángel Cardozo Lucena,66,56,68,70,67,62,CM,2
Mohamed-Ali Cho,81,68,60,76,26,56,ST,6
Ramón Arias,50,30,40,48,73,76,CB,1
Marc Roberts,52,24,41,44,71,73,CB,1
Rade Dugalić,46,48,52,40,69,81,CB,1
Hannes Van Der Bruggen,48,62,70,67,68,68,CM,2
Maximiliano Falcón,71,37,39,44,67,82,CB,1
Felix Afena-Gyan,89,70,57,69,39,62,ST,6
Romain Amalfitano,53,59,70,72,64,64,CM,2
Anthony Mandrea,71,64,63,74,44,71,GK,3
Maxence Prévot,70,69,68,69,36,69,GK,3
Jonathan de Guzmán,62,72,73,74,54,64,CAM,0
Moisés Ramírez,72,65,63,73,33,67,GK,3
Mathieu Debuchy,61,65,67,68,71,70,CB,1
Tom Lockyer,66,36,54,60,69,78,CB,1
Sean Nealis,69,32,41,49,69,81,CB,1
Washington Corozo,85,66,60,73,31,76,ST,6
Sebastian Ernst,68,60,66,74,56,68,CAM,0
Franco Russo,62,33,52,48,72,70,CB,1
Rémy Dugimont,55,73,70,69,40,82,ST,6
Andy Rinomhota,80,54,59,68,71,80,CB,1
Cristian Ferreira,76,71,74,73,57,62,CAM,0
Alhassan Yusuf,78,60,66,74,62,76,CAM,0
Kristijan Bistrović,67,68,69,67,68,64,CM,2
Jean Carlos Pineda,75,66,65,71,67,59,CAM,0
Ivanildo Jorge Mendes Fernandes,59,28,47,48,68,81,CB,1
José Manuel Arias Copete,60,33,51,54,71,70,CB,1
Kyriakos Papadopoulos,50,42,50,47,68,75,CB,1
Jarosław Niezgoda,79,71,52,68,35,63,ST,6
Johannes Eggestein,70,68,70,74,36,60,CAM,0
Hyeon Mu Kang,70,68,64,72,44,69,GK,3
Ben Gibson,50,27,48,46,71,76,CB,1
Otabek Shukurov,66,65,69,70,67,69,CM,2
Lino Tempelmann,81,53,65,73,66,66,CAM,0
Antônio Carlos Cunha Capocasali Jr,58,34,43,44,71,80,CB,1
Leonardo Ruiz,71,70,58,71,23,64,ST,6
Veljko Birmančević,81,65,66,74,37,59,CAM,0
Santiago Mele,72,65,62,71,41,68,GK,3
Diego Valencia,73,67,59,71,26,70,ST,6
Giacomo Vrioni,75,70,56,68,24,71,ST,6
Dominik Baumgartner,67,35,52,51,70,74,CB,1
Bingourou Kamara,72,69,63,70,39,70,GK,3
Michele Camporese,68,30,38,53,72,72,CB,1
Martín Rodríguez,83,62,67,72,47,58,LW,4
Jon McLaughlin,70,71,70,69,51,68,GK,3
Thiago Rangel Cionek,51,26,44,52,70,71,CB,1
Luca Lezzerini,71,66,63,73,45,69,GK,3
Marcus Rohdén,74,66,66,70,59,80,CM,2
Ashley Du Preez,81,73,56,67,39,64,ST,6
Edson André Sitoe,37,48,56,63,70,69,CB,1
Tommy St. Jago,78,34,52,60,70,71,CB,1
Maarten Vandevoordt,73,70,65,73,40,63,GK,3
Tatsuhiro Sakamoto,75,66,67,71,40,60,CAM,0
José Rodríguez Martínez,56,64,69,70,67,71,CM,2
Adewale Sapara,81,71,62,73,28,54,LW,4
Olisa Ndah,79,45,54,55,72,73,CB,1
Martin Baturina,74,64,71,78,57,62,CAM,0
Máximo Perrone,62,54,63,73,69,60,CM,2
Mickaël Le Bihan,49,72,60,69,46,74,ST,6
Søren Rieks,70,70,67,70,64,73,LW,4
Curtis Davies,43,36,46,52,73,66,CB,1
Fernando Monetti,70,67,70,71,56,70,GK,3
Emiliano Marcondes,72,68,68,71,42,65,CAM,0
Carlos Benavídez,67,44,63,63,71,70,CB,1
Abdul-Aziz Yakubu,85,69,50,64,21,69,ST,6
Facundo Colidio,71,70,66,72,35,53,ST,6
Ádám Szalai,34,72,58,62,44,76,ST,6
Marcus Bettinelli,71,68,72,72,30,71,GK,3
Antonio Milić,40,42,59,51,73,72,CB,1
Oliver Christensen,76,64,63,76,37,63,GK,3
Stjepan Lončar,61,62,65,69,64,73,CM,2
Jose Antonio Delgado Villar,69,63,70,72,60,63,CM,2
Jackson Irvine,65,67,68,67,67,76,CM,2
Liam Kelly,71,69,72,70,37,73,GK,3
Julian Pollersbeck,71,66,70,71,37,70,GK,3
Roger Brugué Ayguade,88,62,63,73,40,65,CAM,0
Cristian Bordacahar,81,66,62,72,27,57,RW,5
Michael Lang,59,63,65,64,71,71,CB,1
Martín Távara,68,64,65,67,63,61,CM,2
Rayane Aabid,70,60,71,73,63,68,CM,2
Aleksandar Sedlar,45,43,49,49,70,77,CB,1
Vincent Pajot,50,56,69,69,66,72,CM,2
Marcel Hartel,71,64,69,76,36,61,CAM,0
Sarpreet Singh,74,65,70,72,48,57,CAM,0
Maximilian Beier,86,68,61,71,25,57,ST,6
Tristan Dingomé,58,64,71,72,66,66,CM,2
Joe Ralls,61,68,71,68,66,66,CM,2
Jens Odgaard,74,71,61,70,36,70,ST,6
Diego Sánchez,71,68,69,70,49,66,GK,3
Aleksandr Zhirov,63,30,42,43,70,75,CB,1
Cristopher Toselli,69,68,70,70,51,71,GK,3
Dan Gosling,50,67,70,68,70,64,CM,2
Gastón Ávila,73,36,60,64,70,73,CB,1
Harisson Marcelin,60,35,49,51,71,75,CB,1
Axel Werner,74,72,75,70,45,68,GK,3
Kevin Gutiérrez,76,59,66,72,62,72,CAM,0
Michael Johnston,85,64,63,74,29,47,LW,4
Aleksandar Radovanović,41,29,49,49,70,77,CB,1
Joao Ortiz,72,68,68,69,67,71,CAM,0
Ezequiel Cañete,71,69,71,70,50,68,CAM,0
Seung Gyu Kim,71,65,67,73,36,71,GK,3
Bryan Acosta,82,68,67,68,66,82,CM,2
Quentin Boisgard,56,63,72,71,55,67,CM,2
Karl-Johan Johnsson,71,69,67,71,43,68,GK,3
Koki Machida,80,36,56,50,69,79,CB,1
Enrique Triverio,39,72,55,67,30,73,ST,6
Andrew Farrell,75,48,64,66,68,78,CB,1
Gennaro Tutino,79,70,68,72,35,64,CAM,0
João Rafael Brito Teixeira,75,68,66,72,56,60,RW,5
Mustapha Yatabaré,52,71,60,64,31,71,ST,6
Modou N'Diaye,67,55,59,65,68,75,CB,1
Lachlan Jackson,53,26,40,45,70,77,CB,1
Brian Blasi,67,41,57,60,68,77,CB,1
Marwane Saadane,57,49,60,61,66,83,CB,1
Sean Raggett,44,36,44,46,67,84,CB,1
Germán Lanaro,33,34,49,47,67,75,CB,1
Bruno Batista Pires,65,44,52,59,68,73,CB,1
Jon Pacheco Dozagarat,52,22,50,48,70,64,CB,1
Michael Morrison,41,38,44,45,69,73,CB,1
Alan Jonathan Patrício Botelho,61,46,55,62,72,67,CB,1
Javier Muñoz Jiménez,69,63,68,70,62,67,CM,2
Simon Gustafson,60,69,71,69,54,69,CAM,0
Emiliano Martínez,70,55,62,67,67,61,CM,2
Saviour Godwin,91,66,56,74,37,63,LW,4
Gustav Ludwigson,86,64,61,66,30,80,RW,5
Jake Clarke-Salter,65,33,51,49,70,73,CB,1
Iván Tapia,70,64,69,70,52,66,CAM,0
Sebastián Sáez,66,69,51,67,25,68,ST,6
Koba Leïn Koindredi,63,68,71,72,53,65,CAM,0
Moussa Konaté,76,67,55,68,23,66,ST,6
Güven Yalçın,75,72,57,67,23,58,ST,6
Severino Pedro Santos Hermes,64,66,54,70,31,61,ST,6
Jonas Bager,72,31,49,56,69,75,CB,1
Stefan Nutz,65,68,71,68,53,65,CAM,0
Roderick J. Gonçalves Miranda,38,36,52,52,68,82,CB,1
Sébastien Dewaest,39,40,50,41,69,78,CB,1
Mark Birighitti,71,66,64,71,48,69,GK,3
William Yarbrough,69,64,70,68,58,70,GK,3
Luke Freeman,69,65,70,71,51,61,CAM,0
Pablo Sabbag,61,72,50,64,32,68,ST,6
Olávio Vieira dos Santos Júnior,86,69,60,68,27,57,LW,4
Adrián Ugarriza,68,70,60,70,23,59,ST,6
Anthony Racioppi,68,63,62,73,30,69,GK,3
Arda Güler,68,63,72,74,41,42,CAM,0
Mads Emil Madsen,58,58,67,68,62,74,CM,2
Germán Guiffrey,70,36,49,57,70,72,CB,1
Keagan Dolly,75,70,67,72,37,52,LW,4
Keegan Rosenberry,68,51,62,66,68,74,CB,1
Nicklas Helenius,60,70,56,65,33,71,ST,6
Vakoun Issouf Bayo,78,69,49,66,25,76,ST,6
Lluís López Mármol,65,36,56,61,70,71,CB,1
Tote António Gomes,76,47,60,61,69,72,CB,1
Gerrit Nauber,53,35,43,47,71,73,CB,1
Sekou Gassama,57,70,47,61,32,78,ST,6
Kenny Rocha Santos,71,59,69,73,60,68,CAM,0
Rafał Wolski,61,63,70,72,32,52,CAM,0
Pedro Miguel Pereira Silva,61,64,68,70,57,74,CM,2
Luka Menalo,78,64,59,72,40,58,LW,4
Jorge Grant,67,65,70,70,57,67,CM,2
Uroš Radaković,52,33,45,44,69,76,CB,1
Joel Obi,82,67,67,71,70,75,LW,4
Scott Kennedy,81,29,45,48,69,72,CB,1
Mounaïm El Idrissy,75,69,63,69,29,63,ST,6
Francisco Jesús Crespo García,92,68,63,69,36,50,LW,4
Andriy Totovytskyi,68,68,68,69,47,65,CAM,0
Robin Bormuth,69,25,40,49,70,73,CB,1
Nkosinathi Sibisi,73,37,53,49,73,72,CB,1
Raúl Fdez-Cavada Mateos,66,66,60,71,40,72,GK,3
Ji Soo Park,71,49,56,60,69,75,CB,1
Christian Vilches,33,40,49,52,69,71,CB,1
Ben Wilmot,55,37,53,60,71,70,CB,1
Robert Piris Da Motta,63,39,59,62,68,77,CB,1
Jason Kerr,68,49,53,59,66,81,CB,1
Kingsley Sarfo,75,58,63,79,43,53,CAM,0
Patrick Osterhage,74,50,67,71,65,67,CM,2
Leo Väisänen,72,30,56,59,69,70,CB,1
José Andrés Rodriguez Gaitán,54,67,68,67,65,72,CM,2
Tobias Raschl,62,55,66,71,58,66,CM,2
Timothé Cognat,79,60,68,72,61,67,CAM,0
Bevic Moussiti-Oko,59,69,48,63,27,78,ST,6
Antonio Palumbo,67,58,68,70,57,74,CAM,0
Bill Tuiloma,60,53,64,59,69,76,CB,1
Luciano Lollo,32,42,44,47,70,73,CB,1
Brad Stuver,69,70,66,69,47,67,GK,3
Norberto Briasco,77,66,60,71,23,69,ST,6
Mauro Luna Diale,81,68,64,73,44,55,CAM,0
Sergio González Poirrier,54,35,52,49,72,61,CB,1
Christoph Klarer,56,36,48,49,70,70,CB,1
Miguel Araujo,63,36,49,58,69,73,CB,1
Víctor Meseguer Cavas,63,59,67,68,64,69,CM,2
Adnan Kovačević,51,42,44,44,71,70,CB,1
Bartosz Nowak,60,69,70,71,43,68,CAM,0
Reda Khadra,81,62,64,73,42,62,CAM,0
Benedikt Pichler,80,68,63,64,33,69,ST,6
Curtis Good,57,35,56,58,69,79,CB,1
Mile Svilar,72,65,63,71,58,66,GK,3
Aschraf El Mahdioui,65,52,69,69,62,67,CM,2
Terence Kongolo,60,42,59,63,69,68,CB,1
Daniel Martín Fernández,69,69,68,71,47,67,GK,3
Darijan Bojanić,43,63,76,69,57,64,CM,2
Jack Whatmough,64,26,48,56,68,80,CB,1
Danny Batth,31,23,42,39,69,82,CB,1
Lasse Nielsen,68,33,53,53,67,80,CB,1
Ali Şaşal Vural,70,66,61,74,46,69,GK,3
Brice Maubleu,66,67,65,69,40,69,GK,3
Jason Knight,68,63,66,70,64,70,CM,2
Ezequiel Centurión,72,66,65,69,49,69,GK,3
Joseph Attamah,65,46,57,61,69,76,CB,1
Rodrigo Tarín Higón,77,37,50,60,68,73,CB,1
Cédric Avinel,69,46,51,46,69,78,CB,1
Ante Ćorić,68,65,69,72,40,57,CAM,0
Ahmed Sharahili,74,29,53,59,68,78,CB,1
Facundo Bruera,57,72,53,60,28,71,ST,6
Filipe Bem Relvas V. Oliveira,63,40,54,57,70,73,CB,1
Diogo Alexandre Almeida Mendes,67,48,60,66,67,72,CB,1
Erik Marxen,57,52,62,62,68,75,CB,1
Loïc Nestor,49,45,55,56,69,80,CB,1
Arthur Desmas,71,69,69,70,36,66,GK,3
Jessy Moulin,68,70,65,68,51,72,GK,3
Matthew Hoppe,75,69,57,67,24,58,ST,6
Viljar Myhra,69,66,62,72,45,68,GK,3
Dimitri Lavalée,65,29,61,64,67,69,CB,1
Gustavo Velázquez,74,31,47,54,69,75,CB,1
Mason Bennett,80,63,63,69,42,75,LW,4
Mamadou Fall,87,64,61,69,37,73,RW,5
Dinis Costa Lima Almeida,60,38,45,49,70,70,CB,1
Miguel Kaíque Acuna Mutto,79,55,66,83,43,55,GK,3
Nahuel Barrios,83,61,64,75,37,43,CAM,0
Gastón Sauro,40,33,51,51,69,73,CB,1
Dario Dumić,46,49,55,46,68,74,CB,1
Grejohn Kyei,64,65,51,66,26,80,ST,6
Marc Valiente Hernández,51,33,57,56,70,74,CB,1
Bienvenu Eva Nga,70,68,50,66,45,80,ST,6
Ivan Ljubić,59,64,65,68,66,74,CM,2
Rodrigo Riquelme Reche,75,65,65,72,38,49,CAM,0
Lucas Orbán,64,51,60,59,68,76,CB,1
Alessio Da Cruz,76,69,58,71,36,64,ST,6
Lalas Abubakar,56,32,50,50,66,79,CB,1
Carmelo Valencia,75,71,58,67,42,59,ST,6
Gonçalo Rosa Pereira Rodrigues,67,62,64,72,64,58,CAM,0
Bruno Duarte da Silva,69,68,61,67,26,68,ST,6
Marko Ilić,72,67,59,72,38,66,GK,3
Lawrence Thomas,70,68,71,68,35,67,GK,3
Francisco Chaverra,80,57,64,69,42,45,CAM,0
Yusuf Erdoğan,81,67,66,71,59,66,RW,5
Andrea Favilli,57,69,48,67,24,60,ST,6
Rob Atkinson,54,25,48,56,70,79,CB,1
Luis Segovia,71,42,54,55,68,76,CB,1
Yordi Vílchez,59,25,50,45,71,64,CB,1
Tomás Cardona,47,41,47,57,68,77,CB,1
Steven Fletcher,48,71,59,67,33,68,ST,6
Luis Amarilla,74,69,58,62,35,65,ST,6
Neil Etheridge,69,62,60,70,47,70,GK,3
Tariqe Fosu,80,64,64,71,45,61,LW,4
Per Ciljan Skjelbred,55,53,68,70,66,66,CM,2
Babajide David Akintola,91,62,58,70,41,66,RW,5
Chai Min Lim,70,30,42,45,68,78,CB,1
Álex Bermejo Escribano,73,68,65,71,53,62,CAM,0
Fernando Lopes dos Santos Varela,61,44,53,59,68,78,CB,1
Ionuț Nedelcearu,61,46,52,57,69,78,CB,1
Jani Atanasov,71,62,71,67,63,71,CM,2
Steve Birnbaum,34,31,45,51,68,85,CB,1
Nikolas Ioannou,71,42,55,63,67,73,CB,1
Diber Cambindo,69,70,45,65,25,75,ST,6
Yamil Asad,75,67,67,72,57,69,LW,4
Alex Scott,73,60,69,74,59,63,CAM,0
Cedric Itten,67,70,60,65,36,74,ST,6
Víctor Cabrera,66,39,57,59,69,72,CB,1
Jorge Arias,73,49,61,60,67,81,CB,1
Will Keane,67,69,62,69,45,73,ST,6
Nicolai Rapp,54,42,56,59,70,72,CB,1
Achraf Dari,62,31,49,51,71,69,CB,1
Philippe Sandler,63,39,64,68,70,67,CB,1
Domingos Quina,69,66,66,73,44,48,CAM,0
Raphael Rossi Branco,77,36,49,55,69,76,CB,1
Michael Boxall,56,42,58,57,67,80,CB,1
Agustín Cardozo,69,53,66,69,67,71,CM,2
David Nicolás Andrade,71,69,64,71,43,67,GK,3
Nathan Thompson,70,38,54,62,68,80,CB,1
Luca Zidane,71,65,64,70,37,69,GK,3
Sebastian Kowalczyk,81,63,63,72,43,52,CAM,0
Woon Jeong,75,57,65,65,69,73,CB,1
Sergio Henrique Santos Gomes,90,63,55,70,26,70,ST,6
Andrea Masiello,32,37,54,56,71,69,CB,1
Dillon Phillips,70,65,62,70,46,68,GK,3
Anthony Ujah,55,69,54,67,33,67,ST,6
Necip Uysal,55,56,62,64,69,74,CB,1
Bit Garam Yoon,71,64,71,68,57,64,CM,2
Jakov Medić,64,48,58,59,67,80,CB,1
José María Amo Torres,59,38,54,61,69,72,CB,1
Gaëtan Coucke,70,68,67,69,39,65,GK,3
Berke Özer,68,68,68,73,24,66,GK,3
Dylan Louiserre,64,65,67,69,64,70,CAM,0
Alfie Mawson,52,39,48,56,70,70,CB,1
Nikola Dovedan,80,66,61,74,34,59,RW,5
Isaac Lihadji,77,60,63,74,26,44,CAM,0
Michał Pazdan,47,44,57,55,69,71,CB,1
Lys Mousset,77,70,55,70,24,67,ST,6
Sammy Bossut,67,70,63,68,44,73,GK,3
Florian Kastenmeier,69,64,67,70,26,67,GK,3
Larrys Mabiala,43,44,51,50,68,82,CB,1
Ousmane Kanté,35,35,51,55,68,82,CB,1
Josh Sargent,73,70,61,68,48,82,ST,6
Vojtěch Vorel,71,67,70,72,35,68,GK,3
Jesper Verlaat,53,26,47,55,68,77,CB,1
Marc-Francois Enoumba,81,58,58,61,68,74,CB,1
Mohammed Al Owais,74,64,55,72,46,66,GK,3
Osama Rashid,69,65,70,72,56,63,CM,2
Emidio Dener Hoffman Vaz,50,53,56,55,70,72,CB,1
Tiago Casasola,63,51,66,65,67,77,CB,1
Ayrton Costa,70,29,57,62,70,71,CB,1
Ouparine Djoco,71,67,70,71,27,64,GK,3
Sami Al Najai,73,65,64,70,57,63,CAM,0
Mads Bech Sørensen,53,34,53,58,69,73,CB,1
Bruno Luiz Fagundeiro Cardenas,65,66,70,70,55,60,CAM,0
Mourtada Fall,61,36,49,45,67,81,CB,1
Mirko Marić,71,70,53,64,28,71,ST,6
Zander Clark,69,65,71,73,31,72,GK,3
Césario Marco Pesso Limberg,56,50,57,49,70,72,CB,1
Gonzalo Abrego,65,53,67,69,60,77,CM,2
Antoine Bernier,81,62,63,73,36,63,CAM,0
Vincent Sierro,65,59,65,65,61,73,CM,2
Léo Pétrot,64,32,46,54,70,71,CB,1
Lazaros Lamprou,84,67,59,71,31,66,ST,6
Young Kwang Kim,66,73,65,67,58,70,GK,3
Alex Wilkinson,31,45,54,50,69,76,CB,1
Aaron Connolly,75,69,50,71,20,64,ST,6
Eric Remedi,47,49,59,63,66,81,CB,1
Callum O'Dowda,81,60,66,70,49,65,LW,4
Julian Green,70,67,65,73,33,60,CAM,0
Jordan Hugill,65,67,54,65,38,84,ST,6
Steven Fortes,36,40,53,49,69,82,CB,1
Kenji Gorré,80,67,62,71,33,62,LW,4
Eddie Segura,61,30,49,57,68,74,CB,1
Raúl Lizoain Cruz,67,69,63,67,50,69,GK,3
Jasmin Fejzić,70,63,52,74,23,70,GK,3
Leandro Andrade Silva,65,39,44,46,70,72,CB,1
Jonatan Cristaldo,67,71,63,72,29,70,ST,6
Wilder Cartagena,73,55,59,65,67,78,CB,1
David Jensen,66,65,63,69,42,74,GK,3
Jhonatan Luiz Siqueira,72,68,69,72,33,65,GK,3
Marco Fossati,67,63,67,68,60,69,CM,2
Marco Modolo,59,45,49,48,68,79,CB,1
Ali Asad,69,64,67,76,33,47,LW,4
Youssoufou Niakaté,87,70,58,67,26,67,ST,6
Thomas Isherwood,55,33,45,45,68,84,CB,1
Jérémy Frick,68,67,68,70,44,67,GK,3
Tomáš Pekhart,59,70,54,57,33,76,ST,6
Paxton Pomykal,74,57,70,72,61,69,CAM,0
Scott Dann,31,40,48,48,71,64,CB,1
Christian Walton,70,69,65,70,35,67,GK,3
Frederik Tingager,55,33,52,53,67,82,CB,1
Mory Diaw,71,69,67,73,43,67,GK,3
Carlos Esparragoza,64,66,65,68,64,67,CAM,0
Virgil Misidjan,87,58,62,75,29,57,RW,5
Jesper Daland,63,40,51,56,69,72,CB,1
Igoh Ogbu,79,39,53,57,68,78,CB,1
Francisco Montero Rubio,65,29,52,60,71,67,CB,1
Andrés Andrade,72,51,59,64,68,75,CB,1
Oliver Sail,74,68,53,70,49,65,GK,3
Matheo Raab,70,70,68,69,25,70,GK,3
Nico Mantl,70,69,66,71,33,67,GK,3
Adrien Hunou,74,68,65,70,47,69,ST,6
Miguel de la Fuente,71,68,52,67,31,71,ST,6
Rémy Riou,69,66,65,68,48,70,GK,3
Micky van de Ven,80,43,56,60,68,74,CB,1
Yahia Fofana,70,66,65,70,41,66,GK,3
Riccardo Gagliolo,67,50,53,63,69,69,CB,1
Mijaíl Avilés,68,64,69,68,64,64,CM,2
Mark van der Maarel,58,40,61,62,70,71,CB,1
Aleix Febas Pérez,67,61,71,72,60,66,CAM,0
Cedric Teuchert,73,67,58,72,35,64,ST,6
José Uilton Silva de Jesus,75,63,64,71,31,55,LW,4
Juan Delgado,76,63,64,72,60,66,RW,5
Mees Hoedemakers,60,57,69,66,64,73,CM,2
Kryštof Daněk,69,59,68,71,26,49,CAM,0
Pablo Torre Carral,74,59,71,69,42,54,CAM,0
Ugo Bonnet,74,70,53,66,30,73,ST,6
Yusupha Njie,76,68,57,70,40,69,ST,6
Anderson Oliveira Silva,76,69,58,66,27,70,ST,6
Florinel Coman,81,67,68,68,37,65,CAM,0
Cédric Kipré,68,35,49,46,67,82,CB,1
Marius Høibråten,71,33,51,61,67,80,CB,1
Youssoufa Moukoko,84,68,54,77,32,60,ST,6
Jonathan Montiel Caballero,70,66,69,73,50,55,CAM,0
Sergio Bermejo Lillo,77,58,66,74,41,53,CAM,0
Cristian Benavente,73,69,67,71,31,53,CAM,0
Simone Mazzocchi,64,70,50,67,26,59,ST,6
Gianluca Ferrari,73,40,56,61,67,74,CB,1
Tomás Aresta Machado Ribeiro,67,34,48,50,69,74,CB,1
Ashley Fletcher,73,68,45,66,29,69,ST,6
Jhonder Cádiz,62,68,53,68,31,74,ST,6
Okan Kocuk,71,68,62,73,33,66,GK,3
Stefan Simič,45,27,47,56,70,70,CB,1
Arturo Calabresi,56,31,60,61,68,72,CB,1
Timon Wellenreuther,70,67,65,71,53,66,GK,3
William Mendieta,65,68,68,70,31,61,CAM,0
Nuno Miguel Pereira Reis,58,48,62,61,68,77,CB,1
Bartosz Kapustka,80,61,67,70,37,56,CAM,0
Bryan Lasme,86,68,52,66,24,71,ST,6
Leonai Souza de Almeida,64,62,61,66,70,73,CB,1
Borja Garcés Moreno,60,73,52,69,31,47,ST,6
Agustín Martegani,69,68,68,73,47,58,CAM,0
Georgios Efrem,70,57,64,73,30,48,CAM,0
Florin Berenguer,69,63,69,69,55,69,CAM,0
Antoine Leautey,90,63,63,70,31,52,RW,5
Alan Rodríguez,73,62,67,77,46,46,CAM,0
Luis Binks,59,29,49,53,67,80,CB,1
Tomáš Petrášek,63,45,38,50,67,79,CB,1
Joaquín Novillo,64,34,44,49,69,78,CB,1
Mehdi Léris,50,64,65,67,61,71,CM,2
Riccardo Marchizza,60,30,57,64,69,66,CB,1
Luciano Renato Cacheira Sá,76,62,77,76,31,55,GK,3
Yonathan Del Valle,83,69,65,72,39,58,RW,5
Daniel Graovac,52,40,57,50,67,77,CB,1
Robin Maulun,65,61,70,71,57,56,CAM,0
Tobias Pereira Figueiredo,59,30,47,54,67,77,CB,1
José Francisco dos Santos Júnior,75,66,55,70,29,81,ST,6
Nikolai Baden Frederiksen,74,71,61,71,23,64,ST,6
Seung Beom Ko,73,62,66,71,62,75,CM,2
Luca Valzania,67,60,64,68,62,61,CM,2
Rushine De Reuck,68,39,48,56,70,69,CB,1
Jessic Ngankam,74,68,59,70,26,70,ST,6
Ivan Santini,40,74,53,58,40,83,ST,6
Albian Ajeti,71,69,55,66,28,67,ST,6
Mahir Emreli,77,72,53,71,20,67,ST,6
Daniel Samek,62,66,70,67,66,65,CM,2
Torgeir Børven,70,69,58,67,33,64,ST,6
Glen Rea,63,32,54,61,71,76,CB,1
Christoph Kobald,67,26,54,54,70,70,CB,1
Carlos Santos Rodrigues,68,45,51,60,68,78,CB,1
Williams Riveros,63,39,50,53,69,72,CB,1
Hernán Figueredo,57,66,73,65,54,56,CAM,0
Jonathan Herrera,71,69,60,66,23,66,ST,6
Miguel Brizuela,56,37,54,54,68,78,CB,1
Bradley Collins,69,65,67,69,43,67,GK,3
Alain Baroja,71,65,60,72,42,64,GK,3
Michael Rose,68,39,58,60,69,73,CB,1
Loreintz Rosier,61,58,64,64,66,77,CM,2
Daniel Schmidt,71,66,70,73,17,65,GK,3
Peter Jose Torreiro Costa,75,66,65,72,42,64,GK,3
Kenan Karaman,68,67,64,69,27,68,ST,6
Anderson Arroyo,70,29,56,60,69,71,CB,1
Miloš Ninković,64,67,69,71,52,63,CAM,0
